severity,ndvi_med,evi_med,ndre_med,gli_med,height_med
2,0.877705336,0.86069715,0.348300159,0.396858096,0.496582031
1,0.865088701,0.838088095,0.308594167,0.422798067,0.680908203
3,0.876755476,0.782837629,0.35046491,0.398969084,0.847167969
1,0.878697872,0.861266494,0.355244577,0.401935905,0.759277344
2,0.893027186,0.83993125,0.366213441,0.429429084,0.712646484
1,0.891260564,0.885353923,0.354339302,0.436989456,0.733642578
3,0.873014688,0.763272941,0.343937337,0.395279586,0.631591797
1,0.879611433,0.837949276,0.354354858,0.397674322,0.543212891
2,0.88589251,0.842506528,0.345124304,0.424807727,0.471435547
1,0.88632524,0.841270506,0.365650922,0.416085124,0.39453125
2,0.885463595,0.839731336,0.370825738,0.408676356,0.342773438
1,0.885485113,0.927065909,0.347057402,0.418874323,0.12109375
2,0.879243731,0.847009778,0.356087148,0.394269526,0.327392578
1,0.876258492,0.77145505,0.345475286,0.411087215,0.296875
2,0.894433618,0.782283306,0.387310565,0.409809768,0.688720703
1,0.892665684,0.847543478,0.368711174,0.430455685,0.671142578
3,0.888566732,0.862927914,0.369670093,0.40671742,0.739257813
1,0.884839475,0.909827113,0.326745868,0.444684148,0.572387695
3,0.886457682,0.838062525,0.355945557,0.422176063,0.639404297
1,0.889884591,0.847784758,0.365585983,0.424584985,0.784423828
2,0.891688585,0.824548781,0.375823379,0.413676977,0.642089844
1,0.891362131,0.817786336,0.377797097,0.416104943,0.640380859
2,0.885587811,0.850446224,0.35640353,0.431347489,0.50390625
1,0.872413218,0.897823751,0.3030954,0.434936315,0.391845703
3,0.872540593,0.812173963,0.310085684,0.422105163,0.380615234
1,0.848040462,0.687916875,0.287090808,0.391080558,0.413818359
3,0.84007287,0.711382508,0.284397483,0.388615668,0.120727539
1,0.862048626,0.706135452,0.34267053,0.394251615,0.247802734
4,0.86165452,0.707629919,0.322175741,0.406401008,0.393432617
1,0.88448292,0.793572664,0.351428211,0.414189935,0.575927734
2,0.887112856,0.847895265,0.353611261,0.416239202,0.75769043
1,0.888459921,0.824641287,0.38833788,0.398051679,0.817138672
2,0.874557674,0.837383687,0.343090236,0.403917551,0.407226563
1,0.877718747,0.782699585,0.364736855,0.402873635,0.422363281
2,0.890790999,0.81401068,0.37971431,0.410427302,0.385253906
1,0.873519719,0.857275903,0.331507474,0.413533986,0.713623047
3,0.88172543,0.858350813,0.331775248,0.430693954,0.621337891
1,0.870103955,0.82927376,0.317823946,0.410980046,0.506591797
2,0.88959229,0.823790848,0.332707196,0.442296952,0.368896484
1,0.892074823,0.818445146,0.365702271,0.43423304,0.698486328
3,0.863815427,0.691025734,0.288640857,0.415844589,0.213500977
2,0.864647448,0.73859638,0.282506287,0.426040441,0.187988281
1,0.870674491,0.675682247,0.29758665,0.425194412,0.304931641
4,0.85905242,0.599286079,0.299962878,0.425472736,0.161621094
1,0.868293822,0.650898039,0.29831183,0.436909884,0.314941406
2,0.870242119,0.610514879,0.325015128,0.413226455,0.408447266
2,0.866474867,0.615714431,0.296096027,0.427873552,0.485961914
3,0.874635994,0.648010731,0.306094885,0.434199303,0.505371094
2,0.862246394,0.606031477,0.329897702,0.403826773,0.418212891
2,0.864071846,0.650842667,0.31033659,0.424900919,0.657592773
2,0.866741896,0.670737863,0.307801187,0.417509794,0.573486328
2,0.882563949,0.67935884,0.322581887,0.434855312,0.660644531
2,0.855629563,0.687649727,0.276419669,0.433950067,0.649047852
2,0.851490974,0.600882053,0.299535394,0.408159703,0.554931641
2,0.878968477,0.720161498,0.321898818,0.426456779,0.364746094
1,0.885485888,0.687493443,0.357220948,0.406117022,0.394287109
3,0.881062031,0.63185811,0.344719827,0.407609791,0.410644531
2,0.878605723,0.691012919,0.3374376,0.405980736,0.594970703
3,0.862266779,0.715072155,0.294105232,0.405394971,0.700195313
2,0.874906898,0.703451931,0.329342723,0.401100338,0.663330078
2,0.877722144,0.690626383,0.336630166,0.407443702,0.627441406
2,0.87182188,0.744546354,0.295795381,0.430265546,0.558227539
2,0.880184293,0.739765644,0.319483668,0.423293382,0.458007813
2,0.882525325,0.744890571,0.321671098,0.432234615,0.440307617
2,0.879922807,0.645328939,0.338435262,0.418858647,0.729736328
3,0.881859124,0.677993,0.330099404,0.425665021,0.648193359
2,0.867408991,0.619398475,0.317779243,0.418702245,0.607421875
2,0.885576367,0.695250332,0.338328212,0.429883808,0.7578125
1,0.874249339,0.657276273,0.320047259,0.424353302,0.53503418
2,0.87566942,0.689510226,0.331059754,0.4213126,0.516357422
1,0.874004602,0.638045609,0.317000538,0.424306631,0.402587891
2,0.866506755,0.680169046,0.307592809,0.405129731,0.274658203
2,0.879074633,0.701919794,0.341957003,0.392731547,0.815429688
2,0.844215631,0.615439951,0.278500378,0.414640158,0.078125
1,0.879911602,0.739313126,0.300608188,0.458933234,0.084960938
1,0.874128461,0.711564898,0.321106344,0.404939562,0.750976563
2,0.888897896,0.706047535,0.346834362,0.432119936,0.633666992
2,0.878329694,0.612152696,0.335181743,0.407373607,0.411010742
3,0.86605525,0.655731142,0.302481383,0.408748507,0.354736328
3,0.875204682,0.742106378,0.298499167,0.439313054,0.679199219
2,0.881876111,0.719396591,0.340022624,0.414159179,0.690551758
3,0.844410896,0.615217447,0.309921145,0.409670293,0.608154297
3,0.861512363,0.746949911,0.275567561,0.427699536,0.344482422
2,0.86701864,0.695769787,0.31046465,0.402029663,0.467285156
3,0.868131876,0.665989339,0.332791537,0.38202399,0.730957031
2,0.878243983,0.688420773,0.325442851,0.424569905,0.658813477
2,0.881680667,0.678959668,0.330586612,0.427312762,0.725097656
2,0.854400277,0.672335088,0.279580981,0.419996798,0.33984375
4,0.843450189,0.032958984,0.28609854,0.032958984,0.032958984
4,0.845626712,0.051757813,0.285598159,0.051757813,0.051757813
3,0.852814555,0.017578125,0.284311891,0.017578125,0.017578125
4,0.82328856,0.013671875,0.260070801,0.013671875,0.013671875
5,0.74187392,0.067626953,0.207409084,0.067626953,0.067626953
5,0.838420689,0.119140625,0.243039787,0.119140625,0.119140625
2,0.836937606,0.036865234,0.264867127,0.036865234,0.036865234
2,0.868797719,0.025634766,0.318040252,0.025634766,0.025634766
4,0.864161015,0.010498047,0.303800285,0.010498047,0.010498047
4,0.860414386,0.048583984,0.287651479,0.048583984,0.048583984
3,0.862127542,0.054443359,0.29527241,0.054443359,0.054443359
3,0.840308785,0.018310547,0.25677228,0.018310547,0.018310547
4,0.853451967,0.060913086,0.279944807,0.060913086,0.060913086
4,0.821997583,0.111450195,0.228775471,0.111450195,0.111450195
2,0.858349323,0.101196289,0.27966246,0.101196289,0.101196289
2,0.838164926,0.014160156,0.237207592,0.014160156,0.014160156
5,0.833333313,0.129150391,0.255072713,0.129150391,0.129150391
4,0.836514175,0.026367188,0.258621216,0.026367188,0.026367188
3,0.849830925,0.023925781,0.255537748,0.023925781,0.023925781
2,0.826086938,0.188964844,0.230191574,0.188964844,0.188964844
3,0.843429804,0.327148438,0.262531698,0.327148438,0.327148438
3,0.831902087,0.125732422,0.22012639,0.125732422,0.125732422
4,0.806405604,0.272949219,0.244052052,0.272949219,0.272949219
5,0.619002223,0.407104492,0.19106549,0.407104492,0.407104492
4,0.801709652,0.228271484,0.225892335,0.228271484,0.228271484
6,0.669920385,0.004882813,0.220434859,0.004882813,0.004882813
4,0.850263655,0.223632813,0.264429957,0.223632813,0.223632813
6,0.74238342,0.381347656,0.210466668,0.381347656,0.381347656
3,0.85341084,0.337646484,0.271716744,0.337646484,0.337646484
3,0.775026023,0.048339844,0.228071004,0.048339844,0.048339844
3,0.851520836,0.021240234,0.262869358,0.021240234,0.021240234
4,0.836348474,0.023925781,0.263590902,0.023925781,0.023925781
4,0.855599284,0.063720703,0.286452115,0.063720703,0.063720703
5,0.83038348,0.006103516,0.270698339,0.006103516,0.006103516
3,0.840093374,0.001464844,0.257610977,0.001464844,0.001464844
3,0.845864952,0.071533203,0.258077085,0.071533203,0.071533203
5,0.840107799,0.046386719,0.275124311,0.046386719,0.046386719
5,0.796580434,0.190185547,0.193231285,0.190185547,0.190185547
3,0.849783421,0.298950195,0.262977839,0.298950195,0.298950195
4,0.838598669,0.399169922,0.252194643,0.399169922,0.399169922
4,0.834352195,0.43359375,0.252140045,0.43359375,0.43359375
3,0.854174852,0.348999023,0.284895569,0.348999023,0.348999023
4,0.806210458,0.196533203,0.217777103,0.196533203,0.196533203
4,0.817312777,0.022460938,0.231356755,0.022460938,0.022460938
3,0.822177291,0.094970703,0.2217457,0.094970703,0.094970703
4,0.82833004,0.052978516,0.261672109,0.052978516,0.052978516
3,0.857896507,0.049560547,0.276265472,0.049560547,0.049560547
3,0.84675467,0.159423828,0.267057151,0.159423828,0.159423828
5,0.771467924,0.488417357,0.226866961,0.39486292,0.296386719
5,0.787039757,0.457439899,0.232535407,0.398192763,0.503173828
5,0.811015129,0.558999062,0.228276059,0.423594594,0.407470703
6,0.72103858,0.345749408,0.196218625,0.359802157,0.470703125
5,0.656390846,0.332473218,0.16738081,0.299261808,0.471679688
5,0.7588346,0.431113869,0.204969883,0.370960116,0.423583984
3,0.824843764,0.457074314,0.242154568,0.423101634,0.162353516
4,0.802316785,0.424094021,0.229775637,0.402913809,0.020751953
4,0.788594186,0.467219383,0.219344527,0.400085777,0.12109375
4,0.811092079,0.535292268,0.217170998,0.426370412,0.346679688
4,0.799288571,0.587319851,0.213672578,0.401336014,0.447387695
5,0.792666316,0.522679865,0.207208753,0.413069665,0.393798828
5,0.775631905,0.39015311,0.238891348,0.382646203,0.451171875
4,0.729996443,0.417600274,0.20681949,0.369719148,0.435424805
3,0.836044431,0.614016235,0.231804788,0.446326673,0.354003906
4,0.792406917,0.604643881,0.183497429,0.438396752,0.324951172
5,0.782846868,0.563755929,0.203077778,0.413963884,0.556640625
5,0.792914271,0.520482838,0.201033056,0.416592836,0.451049805
5,0.77584511,0.368449569,0.24289912,0.378415704,0.383544922
5,0.818768203,0.549327195,0.209531009,0.445455194,0.494628906
5,0.774265289,0.354904383,0.239299804,0.388859332,0.332275391
5,0.749242008,0.393916309,0.176197365,0.397922724,0.015380859
5,0.787872016,0.479113013,0.195859626,0.421370238,0.168457031
5,0.740813911,0.546987772,0.163726211,0.4042961,0.309570313
5,0.807309628,0.589176118,0.204098776,0.435574442,0.317382813
4,0.780146122,0.6978122,0.15676111,0.431163907,0.473266602
4,0.77367419,0.538992703,0.188792139,0.41104731,0.634033203
5,0.802202344,0.647036314,0.193474323,0.43644768,0.676757813
4,0.771419823,0.654771566,0.146029681,0.431464225,0.408935547
5,0.79647404,0.471655369,0.236844212,0.409639806,0.521972656
6,0.532206893,0.214751661,0.18570599,0.1265333,0.733520508
5,0.750896752,0.490859091,0.188455358,0.380048782,0.633544922
6,0.675591528,0.307808042,0.17306149,0.307750434,0.396240234
4,0.757744908,0.480478823,0.181623191,0.38986516,0.186889648
5,0.73966825,0.532866657,0.157520041,0.385392308,0.162597656
4,0.795452714,0.597721577,0.194225401,0.423361242,0.061035156
6,0.643681526,0.292218477,0.168763086,0.292675078,0.013671875
6,0.808996618,0.549457788,0.213558793,0.430502713,0.088623047
5,0.798035324,0.612473726,0.184550807,0.443768591,0.1953125
5,0.798035324,0.612473726,0.184550807,0.443768591,0.1953125
4,0.75272119,0.527801275,0.162594199,0.408010423,0.35546875
4,0.812343836,0.67809391,0.192600533,0.446034789,0.526123047
6,0.641079843,0.294440955,0.17704384,0.249738023,0.659179688
5,0.840088785,0.739029169,0.220913798,0.453715861,0.500488281
5,0.681304276,0.404573262,0.173032224,0.323507309,0.357299805
5,0.811112881,0.461783707,0.221721709,0.42935288,0.203369141
4,0.791257501,0.495682746,0.216073275,0.406548321,0.211181641
4,0.836650014,0.582555294,0.241358161,0.431178719,0.554931641
6,0.690244794,0.286438912,0.232789591,0.296651274,0.010742188
5,0.817286611,0.541594982,0.232083604,0.417150766,0.011962891
5,0.776854098,0.459180832,0.200627565,0.411340266,0.010498047
5,0.774394035,0.569612682,0.176246896,0.415193945,0.000488281
4,0.771401644,0.487325072,0.200746357,0.392005086,0.467041016
4,0.816248357,0.59844172,0.207296133,0.444075346,0.266357422
4,0.782369852,0.488270164,0.187957749,0.41638118,0.092041016
5,0.730342746,0.315961123,0.205496237,0.333900064,0.037597656
5,0.736023128,0.421656311,0.183621913,0.35984984,0.549804688
6,0.813543797,0.629362345,0.198119164,0.43382287,0.438842773
5,0.763195813,0.597923338,0.156162351,0.427234024,0.604248047
6,0.65233022,0.258089483,0.189606398,0.265130252,0.277832031
4,0.805752993,0.551000476,0.181344211,0.450157464,0.02355957
5,0.70197016,0.397257805,0.190278471,0.337449551,0.028808594
4,0.80688566,0.538449526,0.222384274,0.413163692,0.147705078
5,0.589066267,0.198467463,0.220822185,0.178645015,0.13269043
4,0.808413267,0.562080324,0.21342653,0.418570489,0.753417969
4,0.871709466,0.51285243,0.288546026,0.457645833,0.555664063
6,0.684465826,0.344189405,0.193669036,0.304922283,0.610351563
4,0.802544594,0.564406872,0.185336888,0.446229398,0.0390625
5,0.799020827,0.569065392,0.219946116,0.414869845,0.298095703
5,0.721718729,0.282461911,0.225937158,0.304959714,0.378662109
5,0.686745048,0.456012398,0.172082663,0.322754562,0.258789063
4,0.827351928,0.652656674,0.21146366,0.456547946,0.380859375
5,0.789646924,0.440482646,0.223375022,0.384837717,0.360107422
5,0.772355378,0.620528698,0.182088971,0.423512697,0.453369141
4,0.803141177,0.688166082,0.191566497,0.432972133,0.552246094
6,0.656440258,0.225531027,0.224043384,0.229537845,0.309082031